VN2() X,VN2() Y
1,0.001570056658545741
1.584893192461114,0.0009705121653011777
2.511886431509581,0.0006022911198118841
3.981071705534974,0.0003752955713045462
6.309573444801934,0.0002348173160867105
10,0.0001475333813194097
15.84893192461114,9.307924138733253e-05
25.11886431509581,5.896596875504678e-05
39.81071705534975,3.75063110910982e-05
63.09573444801936,2.395041909641252e-05
100.0000000000001,1.535175663480387e-05
158.4893192461115,9.874950607419125e-06
251.1886431509582,6.371888114060133e-06
398.1071705534976,4.121125267886872e-06
630.9573444801939,2.667038995124016e-06
1000.000000000001,1.720134773525578e-06
1584.893192461115,1.095186639307024e-06
2511.886431509583,6.736404106371718e-07
3981.071705534978,3.832781093284941e-07
6309.573444801941,1.888405628735346e-07
10000.00000000001,7.640711834826614e-08
15848.93192461116,2.568857599903731e-08
25118.86431509584,7.653491648106871e-09
39810.71705534979,2.150217491768463e-09
63095.73444801944,5.915903805566098e-10
100000.0000000002,1.62566896656229e-10
158489.3192461117,4.511508653404734e-11
251188.6431509586,1.274490155664753e-11
398107.1705534981,3.691344883863482e-12
630957.3444801947,1.103797241039198e-12
1000000.000000002,3.42971924145376e-13
1584893.192461117,1.113655092215378e-13
2511886.431509587,3.800940073362169e-14
3981071.705534983,1.377220166231313e-14
6309573.44480195,5.418013929682526e-15
10000000.00000003,2.417375065170291e-15
15848931.92461118,1.289528520295503e-15
25118864.31509588,8.290105096209432e-16
39810717.05534985,5.921410913264863e-16
63095734.44801953,4.078033358646315e-16
100000000.0000003,2.360853961746964e-16
158489319.2461119,1.076989888250059e-16
251188643.1509589,4.032807847505035e-17
398107170.5534986,1.390423589521918e-17
630957344.4801955,4.892531061035387e-18
1000000000.000004,1.81241662796452e-18
1584893192.461119,6.961092852695331e-19
2511886431.50959,2.718932726069051e-19
3981071705.534988,1.067618353850184e-19
6309573444.801957,4.192312002772729e-20
10000000000,1.649997112358926e-20
