VN2() X,VN2() Y
1,0.008422834677361699
1.584893192461114,0.005232389789730457
2.511886431509581,0.003263710710862649
3.981071705534974,0.002044172944066275
6.309573444801934,0.001285666047144365
10,0.0008119674289542002
15.84893192461114,0.0005149079714459251
25.11886431509581,0.000327844388110096
39.81071705534975,0.000209558910046438
63.09573444801936,0.000134457367593558
100.0000000000001,8.658209145173288e-05
158.4893192461115,5.594216844922241e-05
251.1886431509582,3.625578952211055e-05
398.1071705534976,2.355590204470758e-05
630.9573444801939,1.532544535595997e-05
1000.000000000001,9.958646306105785e-06
1584.893192461115,6.424212068013531e-06
2511.886431509583,4.055923492697453e-06
3981.071705534978,2.429797169695101e-06
6309.573444801941,1.306219250410419e-06
10000.00000000001,5.895069846768969e-07
15848.93192461116,2.17779640012506e-07
25118.86431509584,6.883001279060783e-08
39810.71705534979,1.994946114805543e-08
63095.73444801944,5.581008333835211e-09
100000.0000000002,1.550579007855803e-09
158489.3192461117,4.34517237975336e-10
251188.6431509586,1.240484760340721e-10
398107.1705534981,3.636551213551788e-11
630957.3444801947,1.102116135293229e-11
1000000.000000002,3.470609490066804e-12
1584893.192461117,1.13844348325665e-12
2511886.431509587,3.887772054115255e-13
3981071.705534983,1.377822421564337e-13
6309573.44480195,5.045469814919653e-14
10000000.00000003,1.90290312239872e-14
15848931.92461118,7.398275732415939e-15
25118864.31509588,2.989798783628635e-15
39810717.05534985,1.273242349297929e-15
63095734.44801953,5.699405548661949e-16
100000000.0000003,2.53681312576555e-16
158489319.2461119,1.030420093893163e-16
251188643.1509589,3.696320511070244e-17
398107170.5534986,1.199639515499825e-17
630957344.4801955,3.789773543650672e-18
1000000000.000004,1.318477132685434e-18
1584893192.461119,5.035411144579188e-19
2511886431.50959,2.045270141657892e-19
3981071705.534988,8.634941003082106e-20
6309573444.801957,3.704492952528577e-20
10000000000,1.607747902008017e-20
